"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TFSC","1347 Capital Corp.","9.63","$57.28M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc",
"TFSCR","1347 Capital Corp.","0.35","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr",
"TFSCU","1347 Capital Corp.","9.97","$41.67M","2014","n/a","n/a","http://www.nasdaq.com/symbol/tfscu",
"TFSCW","1347 Capital Corp.","0.2","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw",
"PIH","1347 Property Insurance Holdings, Inc.","7.76","$49.34M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","12.62","$816.6M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","6.8","$68.99M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","11.36","$81.05M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","31.09","$742.43M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","16.1","$1.06B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","17.86","$732.59M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DGLD","3X Inverse Gold ETN Velocityshares","72.05","$9.8M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld",
"JOBS","51job, Inc.","35.62","$2.1B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"SIXD","6D Global Technologies, Inc.","8.64","$670.25M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd",
"EGHT","8x8 Inc","7.66","$688.39M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","15.61","$348.72M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","42.33","$1.23B","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","22.51","$1.22B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","61.79","$1.39B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABY","Abengoa Yield plc","32.61","$2.61B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"ABGB","Abengoa, S.A.","16.74","$2.81B","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb",
"ABMD","ABIOMED, Inc.","60.15","$2.47B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","3.16","$332.99M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","12.26","$614.48M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","65.39","$4.35B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","38.14","$3.82B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","0.5046","$53.71M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","18.71","$835.43M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","41.17","$1.33B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","18.39","$192.22M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","8.59","$674.22M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","8.93","$390.31M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","21.06","$613.03M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","10.75","$190.9M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","12.14","$1.38B","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","20.15","$2.33B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACNB","ACNB Corporation","20.5154","$123.32M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","35.2","$1.5B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACFN","Acorn Energy, Inc.","0.6826","$18.07M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn",
"ACTS","Actions Semiconductor Co., Ltd.","1.6","$137.6M","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","2.28","$52.65M","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","23.1","$16.7B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","15.66","$635.5M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ACUR","Acura Pharmaceuticals, Inc.","0.8199","$38.41M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","19.96","$1.54B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","17.25","$295.42M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","6.82","$88.33M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADUS","Addus HomeCare Corporation","22.14","$243.32M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.3301","$23.4M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","6.83","$89.5M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADMA","ADMA Biologics Inc","9.35","$86.88M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","78.99","$39.36B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","20.38","$1.09B","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"AEIS","Advanced Energy Industries, Inc.","26.71","$1.09B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","3.14","$2.44B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","10.12","$239.29M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","6.59","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"ADVS","Advent Software, Inc.","44.12","$2.31B","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"MULT","AdvisorShares Sunrise Global Multi-Strategy ETF","24.13","$2.41M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mult",
"YPRO","AdvisorShares YieldPro ETF","23.84","$67.94M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro",
"AEGR","Aegerion Pharmaceuticals, Inc.","27.46","$780.85M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","18.31","$684.46M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AEHR","Aehr Test Systems","2.64","$33.88M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","4.35","$89.66M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx",
"AEPI","AEP Industries Inc.","51.53","$261.93M","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AERI","Aerie Pharmaceuticals, Inc.","28.6","$685.96M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","28.06","$654.41M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","0.73","$47.82M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"AFMD","Affimed N.V.","5.79","$138.87M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AFFX","Affymetrix, Inc.","11.74","$877.16M","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGEN","Agenus Inc.","4.85","$304.02M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","10.9","$218.13M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","9.66","$220.47M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","105.66","$3.93B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio",
"AIRM","Air Methods Corporation","51.73","$2.03B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","20.116","$47.68M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","9.08","$589.65M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"AMCN","AirMedia Group Inc","2.22","$132.24M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","8.08","$910.57M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","69.86","$12.43B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKBA","Akebia Therapeutics, Inc.","9.48","$192.83M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","3.72","$18.43M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","49.33","$5.32B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"ALSK","Alaska Communications Systems Group, Inc.","1.7","$84.22M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","17.19","$560.51M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ABDC","Alcentra Capital Corp.","13.75","$185.86M","2014","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ADHD","Alcobra Ltd.","7.2","$152.48M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"ALDR","Alder BioPharmaceuticals, Inc.","26.36","$993.94M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","10.6","$58.99M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","182.51","$36.89B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"ALXA","Alexza Pharmaceuticals, Inc.","2.06","$39.97M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa",
"ALCO","Alico, Inc.","45.49","$335.3M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","56.97","$4.6B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","5.18","$229.45M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALKS","Alkermes plc","72.8","$10.78B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"ALGT","Allegiant Travel Company","186.49","$3.25B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","21.21","$85.42M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AFOP","Alliance Fiber Optic Products, Inc.","17.1","$318.96M","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"AIQ","Alliance HealthCare Services, Inc.","22.85","$245.28M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHGP","Alliance Holdings GP, L.P.","51.97","$3.11B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","38.76","$2.88B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","1.6501","$13.25M","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","28.295","$261.03M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","5.43","$91.36M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","9.36","$311.19M","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","12.35","$2.23B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","37.34","$354M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","106.91","$8.95B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","9.01","$240.18M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"ATEC","Alphatec Holdings, Inc.","1.52","$151.77M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"ALTR","Altera Corporation","36.55","$11B","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"ASPS","Altisource Portfolio Solutions S.A.","20.2003","$409.5M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","27.82","$734.99M","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","49.16","$1.26B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation PLC","1.54","$268.9M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","10.49","$73.04M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","384.61","$178.61B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","24.66","$1.11B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","13.4","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","63.05","$1.91B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"EPAX","Ambassadors Group, Inc.","2.52","$42.95M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/epax",
"AMCX","AMC Networks Inc.","74.48","$5.37B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","52.455","$8.15B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.81","$11.18M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","29.96","$1B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","325.4","$6.38B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"ASBI","Ameriana Bancorp","16.94","$50.94M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Multifamily Investors, L.P.","5.75","$346.45M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","20.87","$72.39B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","48.77","$33.98B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AGNC","American Capital Agency Corp.","21.345","$7.53B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc",
"AGNCB","American Capital Agency Corp.","25.25","$8.91B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb",
"AGNCP","American Capital Agency Corp.","26.7","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp",
"MTGE","American Capital Mortgage Investment Corp.","18.33","$937.85M","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtge",
"MTGEP","American Capital Mortgage Investment Corp.","25.233","$50.47M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtgep",
"ACSF","American Capital Senior Floating, Ltd.","13.36","$133.6M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"ACAS","American Capital, Ltd.","14.98","$4.04B","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas",
"ANCI","American Caresource Holdings Inc","2.8601","$19.2M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/anci",
"AETI","American Electric Technologies, Inc.","3.7","$30.29M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AMIC","American Independence Corp.","10.883","$87.93M","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AMNB","American National Bankshares, Inc.","22.81","$178.98M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","104.99","$2.82B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"APEI","American Public Education, Inc.","30.53","$525.9M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","55.34","$1.18B","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"ARCP","American Realty Capital Properties, Inc.","10.08","$9.15B","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arcp",
"ARCPP","American Realty Capital Properties, Inc.","23.85","$1.03B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arcpp",
"AMRB","American River Bankshares","9.52","$73.16M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASEI","American Science and Engineering, Inc.","50.62","$373.93M","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei",
"AMSWA","American Software, Inc.","9.81","$277.03M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","0.766","$73.32M","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","51.56","$820.02M","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","53.95","$465.2M","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","25.76","$725.42M","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","41.27","$776.82M","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","2.915","$54.79M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","28.1","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","24.46","$227.74M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","158.56","$120.33B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","8.48","$807.71M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","9.82","$2.33B","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","14.02","$625.98M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph",
"AMSG","Amsurg Corp.","60.88","$2.94B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg",
"AMSGP","Amsurg Corp.","123.64","$213.28M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsgp",
"ASYS","Amtech Systems, Inc.","10.72","$139.96M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","54.35","$4.29B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","2.45","$193.74M","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"ANAC","Anacor Pharmaceuticals, Inc.","44.29","$1.9B","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"ANAD","ANADIGICS, Inc.","1.2","$103.9M","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","58.74","$18.3B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","87.95","$1.09B","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"ANCB","Anchor Bancorp","22.3","$56.87M","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ABCW","Anchor BanCorp Wisconsin Inc.","34.45","$318.5M","2014","Finance","Banks","http://www.nasdaq.com/symbol/abcw",
"AMCF","Andatee China Marine Fuel Services Corporation","1.43","$14.67M","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ANGI","Angie&#39;s List, Inc.","6.49","$379.77M","2011","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","18.63","$667.35M","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","66.86","$762.13M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","39.46","$572.33M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","86.225","$7.76B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","2.65","$348.96M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","5.1","$116.99M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ABAC","Aoxin Tianli Group, Inc.","1.45","$48.1M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"ATNY","API Technologies Corp.","2.03","$112.46M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"APOG","Apogee Enterprises, Inc.","44.5","$1.29B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"APOL","Apollo Education Group, Inc.","28.08","$3.04B","1994","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apol",
"AINV","Apollo Investment Corporation","7.81","$1.85B","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"AAPL","Apple Inc.","129.36","$753.49B","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"ARCI","Appliance Recycling Centers of America, Inc.","2.74","$15.86M","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"APDN","Applied DNA Sciences Inc","3.7","$64.24M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdn",
"APDNW","Applied DNA Sciences Inc","1.54","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdnw",
"AGTC","Applied Genetic Technologies Corporation","20.59","$338.53M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agtc",
"AMAT","Applied Materials, Inc.","24.485","$30.08B","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","5.52","$436.85M","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
"AAOI","Applied Optoelectronics, Inc.","13.02","$192.91M","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"AREX","Approach Resources Inc.","8.07","$327.49M","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"APRI","Apricus Biosciences, Inc","2.39","$105.95M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri",
"APTO","Aptose Biosciences, Inc.","5.7816","$67.92M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apto",
"AQXP","Aquinox Pharmaceuticals, Inc.","10.09","$107.91M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aqxp",
"AUMA","AR Capital Acquisition Corp.","9.8","$294M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/auma",
"AUMAU","AR Capital Acquisition Corp.","9.93","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/aumau",
"AUMAW","AR Capital Acquisition Corp.","0.29","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/aumaw",
"ARDM","Aradigm Corporation","7.35","$108.24M","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ardm",
